assertion_text,claim_ids,support_status,support_type,classification,source_ids,review_required,notes,assertion_type,assertion_id,content_id,text_section
"Before the Office of Public Safety had a name, a committee had already designed its job.",CLM-USAIDCIA-P01-004|CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-017,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|4,YES,Synthetic language mapped to underlying claims.,CHRONOLOGY,AST-WRR-USAIDCIA-P01-FB-REEL-001-01,WRR-USAIDCIA-P01-FB-REEL-001,BODY
Kennedy warned that police programs could be neglected because they were a small part of AID.,CLM-USAIDCIA-P01-004,SUPPORTED,DIRECT,DOCUMENTED_FACT,2,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-FB-REEL-001-02,WRR-USAIDCIA-P01-FB-REEL-001,BODY
The committee recommended that AID coordinate and lead all police-assistance programs under State policy guidance.,CLM-USAIDCIA-P01-015,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-FB-REEL-001-03,WRR-USAIDCIA-P01-FB-REEL-001,BODY
The committee recommended a dedicated AID police office.,CLM-USAIDCIA-P01-017,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-FB-REEL-001-04,WRR-USAIDCIA-P01-FB-REEL-001,BODY
"Taken together, those assignments describe a division of labor: civilian administration in AID, policy guidance in State and selected responsibilities outside AID.",CLM-USAIDCIA-P01-004|CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-017,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-REEL-001-05,WRR-USAIDCIA-P01-FB-REEL-001,BODY
"The covert carve-out limits what the overt assignment proves,",CLM-USAIDCIA-P01-004|CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-017,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-REEL-001-06,WRR-USAIDCIA-P01-FB-REEL-001,BODY
it also makes the boundary part of the official design.,CLM-USAIDCIA-P01-004|CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-017,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-REEL-001-07,WRR-USAIDCIA-P01-FB-REEL-001,BODY
That distinction is the payoff.,CLM-USAIDCIA-P01-004|CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-017,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-REEL-001-08,WRR-USAIDCIA-P01-FB-REEL-001,BODY
The records establish an interagency internal-defense structure without establishing that every participating agency was the same institution.,CLM-USAIDCIA-P01-004|CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-017,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|4,YES,Synthetic language mapped to underlying claims.,COMPARATIVE,AST-WRR-USAIDCIA-P01-FB-REEL-001-09,WRR-USAIDCIA-P01-FB-REEL-001,BODY
Share this with a reader who values primary records.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-FB-REEL-001-10,WRR-USAIDCIA-P01-FB-REEL-001,CTA
Open the July 1962 police-assistance memorandum and one bureaucratic sentence changes the story: The committee recommended a dedicated AID police office.,CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-018|CLM-USAIDCIA-P01-019,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-REEL-002-01,WRR-USAIDCIA-P01-FB-REEL-002,BODY
The proposed police office would research techniques for controlling subversion and mass violence.,CLM-USAIDCIA-P01-018,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-FB-REEL-002-02,WRR-USAIDCIA-P01-FB-REEL-002,BODY
The committee recommended an international police academy under government management.,CLM-USAIDCIA-P01-019,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-FB-REEL-002-03,WRR-USAIDCIA-P01-FB-REEL-002,BODY
"Taken together, those assignments describe a division of labor: civilian administration in AID, policy guidance in State and selected responsibilities outside AID.",CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-018|CLM-USAIDCIA-P01-019,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-REEL-002-04,WRR-USAIDCIA-P01-FB-REEL-002,BODY
"The covert carve-out limits what the overt assignment proves,",CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-018|CLM-USAIDCIA-P01-019,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-REEL-002-05,WRR-USAIDCIA-P01-FB-REEL-002,BODY
it also makes the boundary part of the official design.,CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-018|CLM-USAIDCIA-P01-019,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-REEL-002-06,WRR-USAIDCIA-P01-FB-REEL-002,BODY
That distinction is the payoff.,CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-018|CLM-USAIDCIA-P01-019,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-REEL-002-07,WRR-USAIDCIA-P01-FB-REEL-002,BODY
The records establish an interagency internal-defense structure without establishing that every participating agency was the same institution.,CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-018|CLM-USAIDCIA-P01-019,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,COMPARATIVE,AST-WRR-USAIDCIA-P01-FB-REEL-002-08,WRR-USAIDCIA-P01-FB-REEL-002,BODY
Part 1 reconstructs the complete paper trail.,CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-018|CLM-USAIDCIA-P01-019,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-REEL-002-09,WRR-USAIDCIA-P01-FB-REEL-002,CTA
AID administered development assistance.,CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-016|CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-024,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-LONG-001-01,WRR-USAIDCIA-P01-FB-LONG-001,BODY
Yet the committee recommended that AID coordinate and lead all police-assistance programs under State policy guidance.,CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-016,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-FB-LONG-001-02,WRR-USAIDCIA-P01-FB-LONG-001,BODY
The committee assigned AID operating and funding responsibility except for covert aspects and selected Defense programs.,CLM-USAIDCIA-P01-016,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-FB-LONG-001-03,WRR-USAIDCIA-P01-FB-LONG-001,BODY
The committee recommended a dedicated AID police office.,CLM-USAIDCIA-P01-017,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-FB-LONG-001-04,WRR-USAIDCIA-P01-FB-LONG-001,BODY
"The July committee included representatives from AID, Defense, CIA, Justice, the White House and State.",CLM-USAIDCIA-P01-024,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-FB-LONG-001-05,WRR-USAIDCIA-P01-FB-LONG-001,BODY
"Taken together, those assignments describe a division of labor: civilian administration in AID, policy guidance in State and selected responsibilities outside AID.",CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-016|CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-024,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-LONG-001-06,WRR-USAIDCIA-P01-FB-LONG-001,BODY
"The covert carve-out limits what the overt assignment proves,",CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-016|CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-024,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-LONG-001-07,WRR-USAIDCIA-P01-FB-LONG-001,BODY
it also makes the boundary part of the official design.,CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-016|CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-024,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-LONG-001-08,WRR-USAIDCIA-P01-FB-LONG-001,BODY
That distinction is the payoff.,CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-016|CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-024,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-LONG-001-09,WRR-USAIDCIA-P01-FB-LONG-001,BODY
The records establish an interagency internal-defense structure without establishing that every participating agency was the same institution.,CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-016|CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-024,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,COMPARATIVE,AST-WRR-USAIDCIA-P01-FB-LONG-001-10,WRR-USAIDCIA-P01-FB-LONG-001,BODY
Reading the documents in sequence changes the question.,CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-016|CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-024,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,CHRONOLOGY,AST-WRR-USAIDCIA-P01-FB-LONG-001-11,WRR-USAIDCIA-P01-FB-LONG-001,BODY
The issue is no longer a vague claim that foreign aid and national security sometimes overlapped.,CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-016|CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-024,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-LONG-001-12,WRR-USAIDCIA-P01-FB-LONG-001,BODY
"The narrower issue is how policymakers assigned coordination, funding, training and covert responsibility—and what each assignment can support.",CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-016|CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-024,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-FB-LONG-001-13,WRR-USAIDCIA-P01-FB-LONG-001,BODY
Share this with a reader who values primary records.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-FB-LONG-001-14,WRR-USAIDCIA-P01-FB-LONG-001,CTA
John F. Kennedy did not describe police assistance as an ordinary development program.,CLM-USAIDCIA-P01-001|CLM-USAIDCIA-P01-002|CLM-USAIDCIA-P01-003,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-IG-REEL-001-01,WRR-USAIDCIA-P01-IG-REEL-001,BODY
"NSAM 132 was dated February 19, 1962.",CLM-USAIDCIA-P01-001,SUPPORTED,DIRECT,DOCUMENTED_FACT,2,NO,Sentence-level deterministic evidence mapping.,CHRONOLOGY,AST-WRR-USAIDCIA-P01-IG-REEL-001-02,WRR-USAIDCIA-P01-IG-REEL-001,BODY
Kennedy described police assistance as crucial to countering Communist indirect aggression.,CLM-USAIDCIA-P01-002,SUPPORTED,DIRECT,DOCUMENTED_FACT,2,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-IG-REEL-001-03,WRR-USAIDCIA-P01-IG-REEL-001,BODY
Kennedy said police programs could appear marginal under economic-development criteria.,CLM-USAIDCIA-P01-003,SUPPORTED,DIRECT,DOCUMENTED_FACT,2,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-IG-REEL-001-04,WRR-USAIDCIA-P01-IG-REEL-001,BODY
Save this for the document trail.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-IG-REEL-001-05,WRR-USAIDCIA-P01-IG-REEL-001,BODY
Send this document trail to a careful reader.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-IG-REEL-001-06,WRR-USAIDCIA-P01-IG-REEL-001,CTA
"Follow four decisions across 1962, and a police system takes shape in plain sight.",CLM-USAIDCIA-P01-001|CLM-USAIDCIA-P01-006|CLM-USAIDCIA-P01-010,PARTIALLY_SUPPORTED,DIRECT,DOCUMENTED_FACT,2|3|4,YES,Sentence-level deterministic evidence mapping.,CHRONOLOGY,AST-WRR-USAIDCIA-P01-IG-REEL-002-01,WRR-USAIDCIA-P01-IG-REEL-002,BODY
"NSAM 132 was dated February 19, 1962.",CLM-USAIDCIA-P01-001,SUPPORTED,DIRECT,DOCUMENTED_FACT,2,NO,Sentence-level deterministic evidence mapping.,CHRONOLOGY,AST-WRR-USAIDCIA-P01-IG-REEL-002-02,WRR-USAIDCIA-P01-IG-REEL-002,BODY
"NSAM 162 was dated June 19, 1962.",CLM-USAIDCIA-P01-006,SUPPORTED,DIRECT,DOCUMENTED_FACT,3,NO,Sentence-level deterministic evidence mapping.,CHRONOLOGY,AST-WRR-USAIDCIA-P01-IG-REEL-002-03,WRR-USAIDCIA-P01-IG-REEL-002,BODY
"The July 20, 1962 committee called police programs a neglected part of countering subversion and insurgency.",CLM-USAIDCIA-P01-010,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-IG-REEL-002-04,WRR-USAIDCIA-P01-IG-REEL-002,BODY
Save this for the document trail.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-IG-REEL-002-05,WRR-USAIDCIA-P01-IG-REEL-002,BODY
Save the slides and inspect the source.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-IG-REEL-002-06,WRR-USAIDCIA-P01-IG-REEL-002,CTA
Why was a civilian aid agency being assigned a central role in overseas police assistance?,CLM-USAIDCIA-P01-002|CLM-USAIDCIA-P01-005|CLM-USAIDCIA-P01-007,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|3,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-IG-REEL-003-01,WRR-USAIDCIA-P01-IG-REEL-003,BODY
Kennedy described police assistance as crucial to countering Communist indirect aggression.,CLM-USAIDCIA-P01-002,SUPPORTED,DIRECT,DOCUMENTED_FACT,2,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-IG-REEL-003-02,WRR-USAIDCIA-P01-IG-REEL-003,BODY
Kennedy asked AID to review support for local police forces used for internal security and counterinsurgency.,CLM-USAIDCIA-P01-005,SUPPORTED,DIRECT,DOCUMENTED_FACT,2,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-IG-REEL-003-03,WRR-USAIDCIA-P01-IG-REEL-003,BODY
"NSAM 162 called for country plans combining military, police, intelligence and psychological measures.",CLM-USAIDCIA-P01-007,SUPPORTED,DIRECT,DOCUMENTED_FACT,3,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-IG-REEL-003-04,WRR-USAIDCIA-P01-IG-REEL-003,BODY
Save this for the document trail.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-IG-REEL-003-05,WRR-USAIDCIA-P01-IG-REEL-003,BODY
Follow for the next file.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-IG-REEL-003-06,WRR-USAIDCIA-P01-IG-REEL-003,CTA
The aid memo with a national-security problem,CLM-USAIDCIA-P01-012|CLM-USAIDCIA-P01-013|CLM-USAIDCIA-P01-014|CLM-USAIDCIA-P01-021,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-IG-CAROUSEL-001-09,WRR-USAIDCIA-P01-IG-CAROUSEL-001,BODY
The committee reported that FY1958 AID police programs in 21 countries cost about $14 million.,CLM-USAIDCIA-P01-012,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,NUMERIC,AST-WRR-USAIDCIA-P01-IG-CAROUSEL-001-10,WRR-USAIDCIA-P01-IG-CAROUSEL-001,BODY
The committee reported that FY1958 Defense police programs cost $5.8 million in five countries.,CLM-USAIDCIA-P01-013,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,NUMERIC,AST-WRR-USAIDCIA-P01-IG-CAROUSEL-001-02,WRR-USAIDCIA-P01-IG-CAROUSEL-001,BODY
The committee recommended substantially increasing the global police-assistance program.,CLM-USAIDCIA-P01-014,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-IG-CAROUSEL-001-03,WRR-USAIDCIA-P01-IG-CAROUSEL-001,BODY
The committee proposed protecting police funds from competition with economic-development projects.,CLM-USAIDCIA-P01-021,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-IG-CAROUSEL-001-04,WRR-USAIDCIA-P01-IG-CAROUSEL-001,BODY
One proposed funding option was an AID internal-defense budget line for FY1964.,CLM-USAIDCIA-P01-022,SUPPORTED,DIRECT,DOCUMENTED_FACT,4,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-IG-CAROUSEL-001-05,WRR-USAIDCIA-P01-IG-CAROUSEL-001,BODY
Final slide — Read the documents.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-IG-CAROUSEL-001-06,WRR-USAIDCIA-P01-IG-CAROUSEL-001,BODY
Then follow the white rabbit.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-IG-CAROUSEL-001-07,WRR-USAIDCIA-P01-IG-CAROUSEL-001,BODY
Send this document trail to a careful reader.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-IG-CAROUSEL-001-08,WRR-USAIDCIA-P01-IG-CAROUSEL-001,CTA
"The important connection was administrative, explicit and interagency.",CLM-USAIDCIA-P01-007|CLM-USAIDCIA-P01-008|CLM-USAIDCIA-P01-009,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,3,YES,Synthetic language mapped to underlying claims.,RELATIONSHIP,AST-WRR-USAIDCIA-P01-IG-IMAGE-001-01,WRR-USAIDCIA-P01-IG-IMAGE-001,BODY
"NSAM 162 called for country plans combining military, police, intelligence and psychological measures.",CLM-USAIDCIA-P01-007,SUPPORTED,DIRECT,DOCUMENTED_FACT,3,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-IG-IMAGE-001-02,WRR-USAIDCIA-P01-IG-IMAGE-001,BODY
NSAM 162 directed CIA and AID to maintain personnel with paramilitary skills for crisis areas.,CLM-USAIDCIA-P01-008,SUPPORTED,DIRECT,DOCUMENTED_FACT,3,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-IG-IMAGE-001-03,WRR-USAIDCIA-P01-IG-IMAGE-001,BODY
NSAM 162 directed CIA to expand training and support for indigenous intelligence organizations.,CLM-USAIDCIA-P01-009,SUPPORTED,DIRECT,DOCUMENTED_FACT,3,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-IG-IMAGE-001-04,WRR-USAIDCIA-P01-IG-IMAGE-001,BODY
Save this for the document trail.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-IG-IMAGE-001-05,WRR-USAIDCIA-P01-IG-IMAGE-001,BODY
Send this document trail to a careful reader.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-IG-IMAGE-001-06,WRR-USAIDCIA-P01-IG-IMAGE-001,CTA
The ordinary explanation is reasonable: stable civilian policing could support development.,CLM-USAIDCIA-P01-003|CLM-USAIDCIA-P01-004|CLM-USAIDCIA-P01-010|CLM-USAIDCIA-P01-011,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-X-POST-001-01,WRR-USAIDCIA-P01-X-POST-001,BODY
The record adds another purpose.,CLM-USAIDCIA-P01-003|CLM-USAIDCIA-P01-004|CLM-USAIDCIA-P01-010|CLM-USAIDCIA-P01-011,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-X-POST-001-02,WRR-USAIDCIA-P01-X-POST-001,BODY
Kennedy said police programs could appear marginal under economic-development criteria.,CLM-USAIDCIA-P01-003,SUPPORTED,DIRECT,DOCUMENTED_FACT,2,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-X-POST-001-03,WRR-USAIDCIA-P01-X-POST-001,BODY
The documents are linked in Part 1.,CLM-USAIDCIA-P01-003|CLM-USAIDCIA-P01-004|CLM-USAIDCIA-P01-010|CLM-USAIDCIA-P01-011,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-X-POST-001-05,WRR-USAIDCIA-P01-X-POST-001,CTA
The founding directive acknowledged “covert aspects” without mapping them.,CLM-USAIDCIA-P01-008|CLM-USAIDCIA-P01-016|CLM-USAIDCIA-P01-017,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,3|4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-X-POST-002-01,WRR-USAIDCIA-P01-X-POST-002,BODY
"That is a question, not a verdict.",,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-X-POST-002-02,WRR-USAIDCIA-P01-X-POST-002,BODY
NSAM 162 directed CIA and AID to maintain personnel with paramilitary skills for crisis areas.,CLM-USAIDCIA-P01-008,SUPPORTED,DIRECT,DOCUMENTED_FACT,3,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-X-POST-002-03,WRR-USAIDCIA-P01-X-POST-002,BODY
Follow the series—not the slogan.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-X-POST-002-05,WRR-USAIDCIA-P01-X-POST-002,CTA
"Before the Office of Public Safety had a name, a committee had already designed its job.",CLM-USAIDCIA-P01-004|CLM-USAIDCIA-P01-015|CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-021,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,2|4,YES,Synthetic language mapped to underlying claims.,CHRONOLOGY,AST-WRR-USAIDCIA-P01-X-POST-003-01,WRR-USAIDCIA-P01-X-POST-003,BODY
Kennedy warned that police programs could be neglected because they were a small part of AID.,CLM-USAIDCIA-P01-004,SUPPORTED,DIRECT,DOCUMENTED_FACT,2,NO,Sentence-level deterministic evidence mapping.,DIRECT_FACT,AST-WRR-USAIDCIA-P01-X-POST-003-02,WRR-USAIDCIA-P01-X-POST-003,BODY
Read the memo before drawing the conclusion.,,NONFACTUAL_FRAMING,,,,NO,No factual proposition detected.,RHETORICAL_NONFACTUAL,AST-WRR-USAIDCIA-P01-X-POST-003-04,WRR-USAIDCIA-P01-X-POST-003,CTA
Open the July 1962 police-assistance memorandum and one bureaucratic sentence changes the story: The committee recommended a dedicated AID police office.,CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-018|CLM-USAIDCIA-P01-019|CLM-USAIDCIA-P01-020,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-X-POST-004-01,WRR-USAIDCIA-P01-X-POST-004,BODY
The documents are linked in Part 1.,CLM-USAIDCIA-P01-017|CLM-USAIDCIA-P01-018|CLM-USAIDCIA-P01-019|CLM-USAIDCIA-P01-020,INFERENCE_SUPPORTED,INFERENTIAL,STRONG_INFERENCE,4,YES,Synthetic language mapped to underlying claims.,SYNTHESIS,AST-WRR-USAIDCIA-P01-X-POST-004-04,WRR-USAIDCIA-P01-X-POST-004,CTA
